Date,Entity,Division,Function,WW_Income,DP_Income,PP_Income,WW_Amount,DP_Amount,PP_Amount
2023-12,EU,Stockholm,Smart,1.3,6,8.149818335,88,32,121.2582971
2024-03,EU,France,Shoes,9.8,3.9,14.42755952,9,10,24.63139458
2024-03,EU,France,Apparel,3.2,0.9,4.266785665,13,65,85.10244153
2024-03,EU,France,Devices,1.3,6.7,8.343181659,50,21,80.94822168
2024-03,EU,France,Smart,7.3,1.6,9.656170621,6,90,104.1926914
2024-03,EU,Stockholm,Shoes,9.8,1.8,12.1385219,84,79,172.7221462
2024-03,EU,Stockholm,Apparel,3.7,5.6,9.352762756,56,52,113.2715053
2024-03,EU,Stockholm,Devices,6.6,4.8,11.84274672,67,69,138.5852981
2024-03,EU,Stockholm,Smart,3.2,9.5,13.27798375,59,73,141.6128663
2024-06,EU,France,Shoes,4.2,9.3,13.72024392,85,11,100.2502729
2024-06,EU,France,Apparel,0.3,5.9,7.124969984,19,72,91.38891339
2024-06,EU,France,Devices,8.6,9.1,17.77452645,27,43,71.75768372
2024-06,EU,France,Smart,8.2,3.8,12.95430708,89,25,121.4344699
2024-06,EU,Stockholm,Shoes,5.9,6.6,13.3084275,33,32,69.12703564
2024-06,EU,Stockholm,Apparel,0.6,3.4,4.470178262,53,66,125.3856627
2024-06,EU,Stockholm,Devices,6.4,0.7,7.434567034,21,13,40.54823271
2024-06,EU,Stockholm,Smart,7.6,2.4,10.57983902,64,31,101.7389462
2024-09,EU,France,Shoes,0.7,7.2,8.626114187,38,89,133.4000964
2024-09,EU,France,Apparel,4.9,6.7,11.88601202,74,5,81.59527202
2024-09,EU,France,Devices,6.2,9.2,16.25060782,2,49,57.06447602
2024-09,EU,France,Smart,9.8,1.5,11.96360871,69,30,103.4138749
2024-09,EU,Stockholm,Shoes,8.3,2.5,11.50496358,68,1,77.64865035
2024-09,EU,Stockholm,Apparel,8.6,8.3,17.50173107,6,23,33.14485891
2024-09,EU,Stockholm,Devices,2.4,9,12.10653518,71,74,153.0436008
2024-09,EU,Stockholm,Smart,3.7,9,12.74440678,3,4,12.34591855
2024-12,EU,France,Shoes,2.1,0.4,3.015388498,43,56,99.20034013
2024-12,EU,France,Apparel,5.1,1.1,6.240619506,38,66,105.2072192
2024-12,EU,France,Devices,9.4,9,18.65979527,36,63,104.3849346
2024-12,EU,France,Smart,8.9,2.7,11.95855365,35,50,85.71114237
2024-12,EU,Stockholm,Shoes,4.7,6.8,11.65931023,7,81,89.9264996
2024-12,EU,Stockholm,Apparel,0.5,2.2,2.901166949,2,51,58.52283119
2024-12,EU,Stockholm,Devices,6.8,2,9.456781789,60,44,106.6670087
2024-12,EU,Stockholm,Smart,4.5,7.7,12.5521437,17,1,26.20741385
2023-03,AM,Mexico,Shoes,9.3,3.2,12.99931229,72,29,102.1388253
2023-03,AM,Mexico,Apparel,8,2.4,10.86109217,83,74,162.3441618
2023-03,AM,Mexico,Devices,8.5,3.7,12.53371933,32,37,69.78615853
2023-03,AM,Mexico,Smart,5.8,6.7,13.49489111,83,62,148.2193988
2023-06,AM,Mexico,Shoes,3,3.1,6.566877742,81,51,139.2184485
2023-06,AM,Mexico,Apparel,4.1,6.8,11.4126273,69,58,132.2579165
2023-06,AM,Mexico,Devices,4.8,7.7,12.5796348,56,79,140.2459637
2023-06,AM,Mexico,Smart,8.3,3,11.81486602,77,41,126.9854712
2023-09,AM,Mexico,Shoes,9.5,6.2,16.59920021,63,31,99.99142856
2023-09,AM,Mexico,Apparel,2.9,9,12.40486958,61,99,166.9705039
2023-09,AM,Mexico,Devices,1.1,4.1,5.210159994,90,46,141.8266779
2023-09,AM,Mexico,Smart,1.2,8.6,10.61911272,1,56,59.98817477
2023-12,AM,Mexico,Shoes,1.1,2.9,4.166021519,59,69,128.4260642
2023-12,AM,Mexico,Apparel,0.8,2.6,4.001996928,25,87,117.6891802
2023-12,AM,Mexico,Devices,1.9,9.9,11.80917013,26,88,122.059591
2023-12,AM,Mexico,Smart,2.4,7.2,9.694116188,83,26,112.6048506
2024-03,AM,Mexico,Shoes,4.6,7.2,12.22412874,93,70,164.8551311
2024-03,AM,Mexico,Apparel,8.3,9.4,18.57087645,70,94,166.540057
2024-03,AM,Mexico,Devices,10,3.6,14.52422949,20,30,59.55177895
2024-03,AM,Mexico,Smart,0.6,3.3,4.419980829,54,84,140.1496289
2024-06,AM,Mexico,Shoes,6.4,1.2,7.94075782,61,59,124.7209021
2024-06,AM,Mexico,Apparel,4.8,5.2,10.03502264,93,50,150.5767819
2024-06,AM,Mexico,Devices,5.1,7.7,13.14503709,95,61,161.3469199
2024-06,AM,Mexico,Smart,7.9,0.4,8.363658061,1,86,94.66462666
2024-09,AM,Mexico,Shoes,6.4,2,9.1908819,4,16,21.77428075
2024-09,AM,Mexico,Apparel,1.6,0.5,2.377767943,18,67,88.76856441
2024-09,AM,Mexico,Devices,1,3,4.346381007,15,53,76.44748367
2024-09,AM,Mexico,Smart,6.1,3.8,10.42545479,19,59,85.83001177
2024-12,AM,Mexico,Shoes,0.6,4.3,5.10119026,62,77,141.8566125
2024-12,AM,Mexico,Apparel,6.4,9.1,16.13052431,43,81,132.8223683
2024-12,AM,Mexico,Devices,3.2,1.9,5.941670111,11,31,46.57780345
2024-12,AM,Mexico,Smart,4.6,2.6,7.510406623,58,18,85.22499678
2023-03,AM,All,Apparel,8,2.4,10.86109217,83,74,162.3441618
2023-03,AM,All,Devices,8.5,3.7,12.53371933,32,37,69.78615853
2023-03,AM,All,Shoes,9.3,3.2,12.99931229,72,29,102.1388253
2023-03,AM,All,Smart,5.8,6.7,13.49489111,83,62,148.2193988
2023-03,EU,All,Apparel,14.1,17.2,32.21492688,72,144,224.943657
2023-03,EU,All,Devices,9.8,5.7,17.33372462,125,91,221.9266514
2023-03,EU,All,Shoes,10.9,10.3,22.30459639,140,115,261.731026
2023-03,EU,All,Smart,17.3,12.8,30.31916164,165,94,275.4175217
2023-06,AM,All,Apparel,4.1,6.8,11.4126273,69,58,132.2579165
2023-06,AM,All,Devices,4.8,7.7,12.5796348,56,79,140.2459637
2023-06,AM,All,Shoes,3,3.1,6.566877742,81,51,139.2184485
2023-06,AM,All,Smart,8.3,3,11.81486602,77,41,126.9854712
2023-06,EU,All,Apparel,9.9,5.4,16.04252118,90,155,251.277942
2023-06,EU,All,Devices,9.1,7.4,17.03339428,133,94,237.8349154
2023-06,EU,All,Shoes,13.5,6.6,21.082644,110,67,184.0035896
2023-06,EU,All,Smart,16.2,15.1,32.59670074,115,131,263.8789314
2023-09,AM,All,Apparel,2.9,9,12.40486958,61,99,166.9705039
2023-09,AM,All,Devices,1.1,4.1,5.210159994,90,46,141.8266779
2023-09,AM,All,Shoes,9.5,6.2,16.59920021,63,31,99.99142856
2023-09,AM,All,Smart,1.2,8.6,10.61911272,1,56,59.98817477
2023-09,EU,All,Apparel,2.5,9.2,12.3996635,105,112,219.0146765
2023-09,EU,All,Devices,16.6,11.9,29.59014968,68,98,171.7103385
2023-09,EU,All,Shoes,6.7,15.8,24.22062475,137,79,233.1552491
2023-09,EU,All,Smart,12.4,10.3,24.23020587,102,102,211.7231004
2023-12,AM,All,Apparel,0.8,2.6,4.001996928,25,87,117.6891802
2023-12,AM,All,Devices,1.9,9.9,11.80917013,26,88,122.059591
2023-12,AM,All,Shoes,1.1,2.9,4.166021519,59,69,128.4260642
2023-12,AM,All,Smart,2.4,7.2,9.694116188,83,26,112.6048506
2023-12,EU,All,Apparel,7.9,9,17.98042711,164,138,318.600627
2023-12,EU,All,Devices,17.3,4.4,22.67001173,77,69,162.7812496
2023-12,EU,All,Shoes,5.6,9.7,16.4649298,135,184,324.059601
2023-12,EU,All,Smart,7.7,6.8,16.33641492,179,104,291.8618405
2024-03,AM,All,Apparel,8.3,9.4,18.57087645,70,94,166.540057
2024-03,AM,All,Devices,10,3.6,14.52422949,20,30,59.55177895
2024-03,AM,All,Shoes,4.6,7.2,12.22412874,93,70,164.8551311
2024-03,AM,All,Smart,0.6,3.3,4.419980829,54,84,140.1496289
2024-03,EU,All,Apparel,6.9,6.5,13.61954842,69,117,198.3739468
2024-03,EU,All,Devices,7.9,11.5,20.18592838,117,90,219.5335198
2024-03,EU,All,Shoes,19.6,5.7,26.56608141,93,89,197.3535408
2024-03,EU,All,Smart,10.5,11.1,22.93415437,65,163,245.8055577
2024-06,AM,All,Apparel,4.8,5.2,10.03502264,93,50,150.5767819
2024-06,AM,All,Devices,5.1,7.7,13.14503709,95,61,161.3469199
2024-06,AM,All,Shoes,6.4,1.2,7.94075782,61,59,124.7209021
2024-06,AM,All,Smart,7.9,0.4,8.363658061,1,86,94.66462666
2024-06,EU,All,Apparel,0.9,9.3,11.59514825,72,138,216.7745761
2024-06,EU,All,Devices,15,9.8,25.20909348,48,56,112.3059164
2024-06,EU,All,Shoes,10.1,15.9,27.02867142,118,43,169.3773086
2024-06,EU,All,Smart,15.8,6.2,23.5341461,153,56,223.1734161
2024-09,AM,All,Apparel,1.6,0.5,2.377767943,18,67,88.76856441
2024-09,AM,All,Devices,1,3,4.346381007,15,53,76.44748367
2024-09,AM,All,Shoes,6.4,2,9.1908819,4,16,21.77428075
2024-09,AM,All,Smart,6.1,3.8,10.42545479,19,59,85.83001177
2024-09,EU,All,Apparel,13.5,15,29.3877431,80,28,114.7401309
2024-09,EU,All,Devices,8.6,18.2,28.35714301,73,123,210.1080768
2024-09,EU,All,Shoes,9,9.7,20.13107777,106,90,211.0487468
2024-09,EU,All,Smart,13.5,10.5,24.70801549,72,34,115.7597934
2024-12,AM,All,Apparel,6.4,9.1,16.13052431,43,81,132.8223683
2024-12,AM,All,Devices,3.2,1.9,5.941670111,11,31,46.57780345
2024-12,AM,All,Shoes,0.6,4.3,5.10119026,62,77,141.8566125
2024-12,AM,All,Smart,4.6,2.6,7.510406623,58,18,85.22499678
2024-12,EU,All,Apparel,5.6,3.3,9.141786456,40,117,163.7300504
2024-12,EU,All,Devices,16.2,11,28.11657706,96,107,211.0519433
2024-12,EU,All,Shoes,6.8,7.2,14.67469873,50,137,189.1268397
2024-12,EU,All,Smart,13.4,10.4,24.51069735,52,51,111.9185562
2023-03,All,All,Apparel,22.1,19.6,43.07601905,155,218,387.2878188
2023-03,All,All,Devices,18.3,9.4,29.86744395,157,128,291.71281
2023-03,All,All,Shoes,20.2,13.5,35.30390868,212,144,363.8698514
2023-03,All,All,Smart,23.1,19.5,43.81405275,248,156,423.6369205
2023-06,All,All,Apparel,14,12.2,27.45514848,159,213,383.5358586
2023-06,All,All,Devices,13.9,15.1,29.61302908,189,173,378.0808791
2023-06,All,All,Shoes,16.5,9.7,27.64952174,191,118,323.2220381
2023-06,All,All,Smart,24.5,18.1,44.41156676,192,172,390.8644026
2023-09,All,All,Apparel,5.4,18.2,24.80453308,166,211,385.9851804
2023-09,All,All,Devices,17.7,16,34.80030967,158,144,313.5370164
2023-09,All,All,Shoes,16.2,22,40.81982497,200,110,333.1466776
2023-09,All,All,Smart,13.6,18.9,34.84931859,103,158,271.7112752
2023-12,All,All,Apparel,8.7,11.6,21.98242404,189,225,436.2898072
2023-12,All,All,Devices,19.2,14.3,34.47918187,103,157,284.8408406
2023-12,All,All,Shoes,6.7,12.6,20.63095132,194,253,452.4856651
2023-12,All,All,Smart,10.1,14,26.03053111,262,130,404.4666912
2024-03,All,All,Apparel,15.2,15.9,32.19042487,139,211,364.9140038
2024-03,All,All,Devices,17.9,15.1,34.71015787,137,120,279.0852987
2024-03,All,All,Shoes,24.2,12.9,38.79021015,186,159,362.2086719
2024-03,All,All,Smart,11.1,14.4,27.3541352,119,247,385.9551866
2024-06,All,All,Apparel,5.7,14.5,21.63017089,165,188,367.351358
2024-06,All,All,Devices,20.1,17.5,38.35413057,143,117,273.6528363
2024-06,All,All,Shoes,16.5,17.1,34.96942924,179,102,294.0982107
2024-06,All,All,Smart,23.7,6.6,31.89780416,154,142,317.8380427
2024-09,All,All,Apparel,15.1,15.5,31.76551104,98,95,203.5086953
2024-09,All,All,Devices,9.6,21.2,32.70352402,88,176,286.5555605
2024-09,All,All,Shoes,15.4,11.7,29.32195967,110,106,232.8230275
2024-09,All,All,Smart,19.6,14.3,35.13347028,91,93,201.5898052
2024-12,All,All,Apparel,12,12.4,25.27231077,83,198,296.5524186
2024-12,All,All,Devices,19.4,12.9,34.05824717,107,138,257.6297467
2024-12,All,All,Shoes,7.4,11.5,19.77588899,112,214,330.9834522
2024-12,All,All,Smart,18,13,32.02110397,110,69,197.143553
